address,title,url,price
文家街道办事处马厂村1、2组,佳兆业西城广场_成都佳兆业西城广场楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_jzyxcgcabdzb/,12000元/平
剑南大道南延线黄龙大道四段(黄龙古镇旁),黄龙溪谷_成都黄龙溪谷楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_hlxgaataf/,700万/套
仁寿县大化镇老成三路,山水印象城_成都山水印象城楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ssyxcabdjg/,4400元/平
三圣乡成龙大道二段北大附小正对门（川师成龙校区旁）,天府逸家二期_成都天府逸家二期楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_tfyjabdne/,27000元/平
郫县郫筒镇杜鹃路政府旁,重百汉正广场_成都重百汉正广场楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_cbhzgcabfea/,21600元/平
光华大道三段江浦路288号,洲际亚洲湾_成都洲际亚洲湾楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_zjyzwabcfk/,30000元/平
温江区万春镇国色天乡鹭湖宫,鹭湖宫十五区_成都鹭湖宫十五区楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_gstxzzsqdkabjsf/,8103元/平
峨眉山路369号,佳年华广场一期_成都佳年华广场一期楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_jnhgcabbkq/,20000元/平
光华大道三段南侧花土路936号（地铁四号线凤凰大街站旁）,中国西部文化城_成都中国西部文化城楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_zgxbwhcabfnn/,30000元/平
东升镇航都大道与商都路交汇处(陶家院子旁),北大资源燕楠国际_成都北大资源燕楠国际楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_bdzyyngjabbhx/,29000元/平
西二环子云路,龙湖紫宸_成都龙湖紫宸楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_lhzcabflm/,60000元/平
中铁九天,中铁九天_成都中铁九天楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ztjtabffu/,50000元/平
赵镇金园街159号,伊顿小镇_成都伊顿小镇楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ydxzaaqef/,7100元/平
华阳街道府河路与南湖路交汇处,北京街_成都北京街楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_cdbjjaaufe/,12000元/平
郫筒镇和平南三街399号,润弘丽都_成都润弘丽都楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_rhldaalkn/,4500元/平
九江镇万家街道（星空路与香榭大道交汇处）,华润公园九里_成都华润公园九里楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_dwchrgyjlaatrl/,7500元/平
西航港大道中三段888号,葛洲坝紫郡蘭园_成都葛洲坝紫郡蘭园楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_zjlyyqabkfb/,8363元/平
望从东路308号,一里阳光_成都一里阳光楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ylygabgku/,22000元/平
斑竹园镇南华路和竹韵大道交汇处,明都汇_成都明都汇楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_mdhaawwc/,7500元/平
桫椤路上段1号（美好家园旁）,凯世捷财富广场_成都凯世捷财富广场楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ksjcfgcabdry/,4900元/平
崇州市滨江路南二段（太阳岛广场南300米）,南城滨河湾_成都南城滨河湾楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ncbhwabayu/,6300元/平
东升镇星空路二段（航都路与航园路交叉口）,香瑞楠府_成都香瑞楠府楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_xrnfaalyc/,8000元/平
牧华路一段九号,牧马山牧山湖蔚蓝卡地亚_成都牧马山牧山湖蔚蓝卡地亚楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_mmsmshwlkdyaaynp/,1000万/套
港通北一路567号,中铁西郡英华一期_成都中铁西郡英华一期楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ztxjyhyqaaywy/,11000元/平
富华北路357号,保利百合花园_成都保利百合花园楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_blbhhyabfvz/,45000元/平
天府大道南段2859号,和贵南山上_成都和贵南山上楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_hgnssaaliu/,1000万/套
商贸大道二段189号,华霖金贸商厦_成都华霖金贸商厦楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_hljmssabeln/,9500元/平
蜀龙路与熊猫大道交汇处东行300米,保利狮子湖_成都保利狮子湖楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_blszhaaekn/,8000元/平
花源镇丽景南路99号,牧山高第_成都牧山高第楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_msgdabbds/,320万/套
天府四街134号,仁美大源印象_成都仁美大源印象楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_rmdyyxaatew/,40000元/平
光华东二路98号,中铁西城新天地_成都中铁西城新天地楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_ztxcxtdabfws/,55000元/平
天府大道南段1355号（地铁1号线南延线广都站口）,名著司南_成都名著司南楼盘详情(成都链家新房),http://cd.fang.lianjia.com/loupan/p_mzsnabcfj/,40000元/平
